Year,City,Mascote,Tipo
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1960,Rome,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
1964,Tokyo,,
